1: 0-0-0
624: 6-2-3
625: 6-2-4
626: 6-2-5
627: 6-2-6
628: 6-2-7
629: 6-2-8
630: 6-2-9
631: 6-3-0
632: 6-3-1
633: 6-3-2
634: 6-3-3
635: 6-3-4
636: 6-3-5
637: 6-3-6
638: 6-3-7
639: 6-3-8
640: 6-3-9
641: 6-4-0
642: 6-4-1
643: 6-4-2
644: 6-4-3
645: 6-4-4
646: 6-4-5
647: 6-4-6
648: 6-4-7
649: 6-4-8
650: 6-4-9
651: 6-5-0
652: 6-5-1
653: 6-5-2
654: 6-5-3
655: 6-5-4
656: 6-5-5
657: 6-5-6
658: 6-5-7
659: 6-5-8
660: 6-5-9
661: 6-6-0
662: 6-6-1
663: 6-6-2
664: 6-6-3
665: 6-6-4
666: 6-6-5
667: 6-6-6
668: 6-6-7
669: 6-6-8
670: 6-6-9
671: 6-7-0
672: 6-7-1
673: 6-7-2
674: 6-7-3
675: 6-7-4
676: 6-7-5
677: 6-7-6
678: 6-7-7
679: 6-7-8
680: 6-7-9
681: 6-8-0
682: 6-8-1
683: 6-8-2
684: 6-8-3
685: 6-8-4
686: 6-8-5
687: 6-8-6
688: 6-8-7
689: 6-8-8
690: 6-8-9
691: 6-9-0
692: 6-9-1
693: 6-9-2
694: 6-9-3
695: 6-9-4
696: 6-9-5
697: 6-9-6
698: 6-9-7
699: 6-9-8
700: 6-9-9
701: 7-0-0
702: 7-0-1
703: 7-0-2
704: 7-0-3
705: 7-0-4
706: 7-0-5
707: 7-0-6
708: 7-0-7
709: 7-0-8
710: 7-0-9
711: 7-1-0
712: 7-1-1
713: 7-1-2
714: 7-1-3
715: 7-1-4
716: 7-1-5
717: 7-1-6
718: 7-1-7
719: 7-1-8
720: 7-1-9
721: 7-2-0
722: 7-2-1
723: 7-2-2
724: 7-2-3
725: 7-2-4
726: 7-2-5
727: 7-2-6
728: 7-2-7
729: 7-2-8
730: 7-2-9
731: 7-3-0
732: 7-3-1
733: 7-3-2
734: 7-3-3
735: 7-3-4
736: 7-3-5
737: 7-3-6
738: 7-3-7
739: 7-3-8
740: 7-3-9
741: 7-4-0
742: 7-4-1
743: 7-4-2
744: 7-4-3
745: 7-4-4
746: 7-4-5
747: 7-4-6
748: 7-4-7
749: 7-4-8
750: 7-4-9
751: 7-5-0
752: 7-5-1
753: 7-5-2
754: 7-5-3
755: 7-5-4
756: 7-5-5
757: 7-5-6
758: 7-5-7
759: 7-5-8
760: 7-5-9
761: 7-6-0
762: 7-6-1
763: 7-6-2
764: 7-6-3
765: 7-6-4
766: 7-6-5
767: 7-6-6
768: 7-6-7
769: 7-6-8
770: 7-6-9
771: 7-7-0
772: 7-7-1
773: 7-7-2
774: 7-7-3
775: 7-7-4
776: 7-7-5
777: 7-7-6
778: 7-7-7
779: 7-7-8
780: 7-7-9
781: 7-8-0
782: 7-8-1
783: 7-8-2
784: 7-8-3
785: 7-8-4
786: 7-8-5
787: 7-8-6
788: 7-8-7
789: 7-8-8
790: 7-8-9
791: 7-9-0
792: 7-9-1
793: 7-9-2
794: 7-9-3
795: 7-9-4
796: 7-9-5
797: 7-9-6
798: 7-9-7
799: 7-9-8
800: 7-9-9
801: 8-0-0
802: 8-0-1
803: 8-0-2
804: 8-0-3
805: 8-0-4
806: 8-0-5
807: 8-0-6
808: 8-0-7
809: 8-0-8
810: 8-0-9
811: 8-1-0
812: 8-1-1
813: 8-1-2
814: 8-1-3
815: 8-1-4
816: 8-1-5
817: 8-1-6
818: 8-1-7
819: 8-1-8
820: 8-1-9
821: 8-2-0
822: 8-2-1
823: 8-2-2
824: 8-2-3
825: 8-2-4
826: 8-2-5
827: 8-2-6
828: 8-2-7
829: 8-2-8
830: 8-2-9
831: 8-3-0
832: 8-3-1
833: 8-3-2
834: 8-3-3
835: 8-3-4
836: 8-3-5
837: 8-3-6
838: 8-3-7
839: 8-3-8
840: 8-3-9
841: 8-4-0
842: 8-4-1
843: 8-4-2
844: 8-4-3
845: 8-4-4
846: 8-4-5
847: 8-4-6
848: 8-4-7
849: 8-4-8
850: 8-4-9
851: 8-5-0
852: 8-5-1
853: 8-5-2
854: 8-5-3
855: 8-5-4
856: 8-5-5
857: 8-5-6
858: 8-5-7
859: 8-5-8
860: 8-5-9
861: 8-6-0
862: 8-6-1
863: 8-6-2
864: 8-6-3
865: 8-6-4
866: 8-6-5
867: 8-6-6
868: 8-6-7
869: 8-6-8
870: 8-6-9
871: 8-7-0
872: 8-7-1
873: 8-7-2
874: 8-7-3
875: 8-7-4
876: 8-7-5
877: 8-7-6
878: 8-7-7
879: 8-7-8
880: 8-7-9
881: 8-8-0
882: 8-8-1
883: 8-8-2
884: 8-8-3
885: 8-8-4
886: 8-8-5
887: 8-8-6
888: 8-8-7
889: 8-8-8
890: 8-8-9
891: 8-9-0
892: 8-9-1
893: 8-9-2
894: 8-9-3
895: 8-9-4
896: 8-9-5
897: 8-9-6
898: 8-9-7
899: 8-9-8
900: 8-9-9
901: 9-0-0
902: 9-0-1
903: 9-0-2
904: 9-0-3
905: 9-0-4
906: 9-0-5
907: 9-0-6
908: 9-0-7
909: 9-0-8
910: 9-0-9
911: 9-1-0
912: 9-1-1
913: 9-1-2
914: 9-1-3
915: 9-1-4
916: 9-1-5
917: 9-1-6
918: 9-1-7
919: 9-1-8
920: 9-1-9
921: 9-2-0
922: 9-2-1
923: 9-2-2
924: 9-2-3
925: 9-2-4
926: 9-2-5
927: 9-2-6
928: 9-2-7
929: 9-2-8
930: 9-2-9
931: 9-3-0
932: 9-3-1
933: 9-3-2
934: 9-3-3
935: 9-3-4
936: 9-3-5
937: 9-3-6
938: 9-3-7
939: 9-3-8
940: 9-3-9
941: 9-4-0
942: 9-4-1
943: 9-4-2
944: 9-4-3
945: 9-4-4
946: 9-4-5
947: 9-4-6
948: 9-4-7
949: 9-4-8
950: 9-4-9
951: 9-5-0
952: 9-5-1
953: 9-5-2
954: 9-5-3
955: 9-5-4
956: 9-5-5
957: 9-5-6
958: 9-5-7
959: 9-5-8
960: 9-5-9
961: 9-6-0
962: 9-6-1
963: 9-6-2
964: 9-6-3
965: 9-6-4
966: 9-6-5
967: 9-6-6
968: 9-6-7
969: 9-6-8
970: 9-6-9
971: 9-7-0
972: 9-7-1
973: 9-7-2
974: 9-7-3
975: 9-7-4
976: 9-7-5
977: 9-7-6
978: 9-7-7
979: 9-7-8
980: 9-7-9
981: 9-8-0
982: 9-8-1
983: 9-8-2
984: 9-8-3
985: 9-8-4
986: 9-8-5
987: 9-8-6
988: 9-8-7
989: 9-8-8
990: 9-8-9
991: 9-9-0
992: 9-9-1
993: 9-9-2
994: 9-9-3
995: 9-9-4
996: 9-9-5
997: 9-9-6
998: 9-9-7
999: 9-9-8
1000: 9-9-9
